date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD
2020-07-01,USA,USD,United States,5.71,1,5.71,0
2021-01-01,AUS,AUD,Australia,6.48,1.29996750081248,4.98474,-0.119303886925795
2021-01-01,GBR,GBP,Britain,3.29,0.741372280090447,4.4377165,-0.215951148409894
2021-01-01,CAN,CAD,Canada,6.77,1.2803,5.28782316644537,-0.0657556243029391
2021-01-01,GRC,EUR,Greece,3.3,0.823011398707872,4.009665,-0.291578621908127
2021-01-01,ISR,ILS,Israel,17,3.179,5.3475935828877,-0.0551954800551767
2021-01-01,JPN,JPY,Japan,390,104.295,3.73939306774054,-0.33932984668895
2021-01-01,MEX,MXN,Mexico,54,20.11475,2.68459712400104,-0.52568955406342
2021-01-01,NLD,EUR,Netherlands,4.13,0.823011398707872,5.0181565,-0.113399911660777
2021-01-01,SGP,SGD,Singapore,5.9,1.3308,4.43342350465885,-0.216709628152146
2021-01-01,ZAF,ZAR,South Africa,33.5,15.5225,2.15815751328716,-0.618700085991667
2021-01-01,USA,USD,United States,5.66,1,5.66,0
2021-07-01,AUS,AUD,Australia,6.55,1.36658694909464,4.79296249999999,-0.151688053097348
2021-07-01,GBR,GBP,Britain,3.49,0.734672886897109,4.7504135,-0.159218849557522
2021-07-01,CAN,CAD,Canada,6.77,1.2741,5.31355466603877,-0.0595478467188014
2021-07-01,GRC,EUR,Greece,3.3,0.850159404888417,3.881625,-0.312986725663717
2021-07-01,ISR,ILS,Israel,17,3.29205,5.16395558998193,-0.0860255592952344
2021-07-01,JPN,JPY,Japan,390,109.935,3.54755082548779,-0.372114898143754
2021-07-01,MEX,MXN,Mexico,64,20.13525,3.17850535751977,-0.437432680084996
2021-07-01,NLD,EUR,Netherlands,4.22,0.850159404888417,4.963775,-0.12145575221239
2021-07-01,SGP,SGD,Singapore,5.9,1.36825,4.31207747122236,-0.236800447571263
2021-07-01,ZAF,ZAR,South Africa,33.5,14.6625,2.2847399829497,-0.595621241955805
2021-07-01,USA,USD,United States,5.65,1,5.65,0
