Date,Open,High,Low,Close*,Adj Close**,Volume
4/14/2021,122.63,122.97,121.57,122.1,122.1,"2,219"
4/13/2021,123.2,123.32,122.25,122.4,122.4,"1,988"
4/12/2021,123.78,123.78,122.5,122.72,122.72,"5,788"
4/9/2021,124.05,124.57,123.28,123.43,123.43,"10,978"
4/8/2021,123.75,124.57,123.6,124.15,124.15,"4,869"
4/7/2021,122.5,123.32,122.2,123.15,123.15,"15,325"
4/6/2021,121.43,122.85,121.22,122.72,122.72,"6,398"
4/5/2021,120.9,121.72,120.85,121.38,121.38,"14,587"
4/1/2021,120.95,121.4,119.93,120.03,120.03,"10,659"
3/31/2021,120.8,121.4,120.55,120.97,120.97,"7,305"
3/30/2021,121.1,121.38,120.57,120.97,120.97,"6,173"
3/29/2021,120.28,121.57,120.13,120.97,120.97,"9,358"
3/26/2021,119.9,120.38,119.75,120.1,120.1,"7,417"
3/25/2021,119.38,119.97,119.28,119.55,119.55,"7,213"
3/24/2021,118.95,119.43,118.78,119.13,119.13,"6,961"
3/23/2021,118.9,119.28,118.43,119.13,119.13,"7,557"
3/22/2021,118.6,119.43,118.38,118.78,118.78,"4,509"
3/19/2021,118.6,119.22,118,118.4,118.4,"9,970"
3/18/2021,119.53,120.82,118.03,118.57,118.57,"18,855"
3/17/2021,118.5,119.57,118.03,119.43,119.43,"20,273"
3/16/2021,119.2,119.2,118.13,118.2,118.2,"17,885"
3/15/2021,119,119.68,118.93,119.13,119.13,"16,531"
3/12/2021,118.45,119.78,118.4,119,119,"23,163"
3/11/2021,119.1,119.1,118.25,118.53,118.53,"32,061"
3/10/2021,119.35,119.57,118.68,118.78,118.78,"32,849"
3/9/2021,119.3,120.13,118.97,119.65,119.65,"32,368"
3/8/2021,118.97,119.75,118.75,119.35,119.35,"31,072"
3/5/2021,118.72,119.32,118.5,119.03,119.03,"30,155"
3/4/2021,119.4,119.55,118.5,118.55,118.55,"23,891"
3/3/2021,119.3,119.82,119.07,119.4,119.4,"22,206"
3/2/2021,118.97,120,118.57,119.43,119.43,"24,979"
3/1/2021,119.9,120.47,118.78,118.97,118.97,"29,907"
2/26/2021,116.8,117.05,113.05,113.1,113.1,"32,457"
2/25/2021,116.8,117.32,116.25,117,117,"1,105"
2/24/2021,115.85,116.65,115.63,116.57,116.57,862
2/23/2021,115.72,115.85,115.05,115.63,115.63,"1,620"
